PROVIDER,CITY,COUNTRY
THE NAIROBI SOUTH HOSPITAL,NAIROBI,KENYA
AVENUE HOSPITAL NAIROBI,NAIROBI,KENYA
AVENUE HOSPITAL THIKA ,THIKA,KENYA
AVENUE HOSPITAL KISUMU,KISUMU,KENYA
AVENUE HEALTHCARE -KISUMU CLINIC,KISUMU,KENYA
AVENUE HEALTHCARE - MOMBASA CLINIC,MOMBASA,KENYA
AVENUE HEALTHCARE - CHANGAMWE CLINIC,MOMBASA,KENYA
AVENUE HEALTHCARE - ELDORET CLINIC,ELDORET,KENYA
AVENUE HEALTHCARE - NAKURU CLINIC,NAKURU,KENYA
AVENUE HEALTHCARE - NANYUKI CLINIC,NANYUKI,KENYA
AVENUE HEALTHCARE CBD CLINIC,NAIROBI,KENYA
AVENUE HEALTHCARE  - THIKA ROAD CLINIC,NAIROBI,KENYA
AVENUE HEALTHCARE NGONG ROAD CLINIC,NAIROBI,KENYA
AVENUE HEALTHCARE - LANGATA ROAD  CLINIC,NAIROBI,KENYA
AVENUE HEALTHCARE - ONGATA RONGAI CLINIC,NAIROBI,KENYA
AVENUE HEALTHCARE - BURUBURU CLINIC,NAIROBI,KENYA
AVENUE HEALTHCARE - JOGOO ROAD CLINIC,NAIROBI,KENYA
AVENUE HEALTHCARE-EMBAKASI CLINIC,NAIROBI,KENYA
NAIROBI WEST HOSPITAL,NAIROBI,KENYA
LIFECARE HOSPITAL KIKUYU,NAIROBI,KENYA
LIFECARE HOSPITAL MERU,MERU,KENYA
LIFECARE HOSPITAL ELDORET,ELDORET,KENYA
LIFECARE HOSPITAL BUNGOMA,BUNGOMA,KENYA
LIFECARE HOSPITAL MIGORI,MIGORI,KENYA
PSL HOSPITAL (PROLIX SOLUTUON LIMITED),NAIROBI,KENYA
TIBU HEALTH (MOBILE CONSULTATIONS AFRICA),NAIROBI,KENYA
FAHARI CARE NURSING ,NAIROBI,KENYA
TRINITY CARE CENTRE,NAIROBI,KENYA
HISTOCYTE ( BESSIE BYAKIKA),NAIROBI,KENYA
QUEST LABORATORIES LTD,NAIROBI,KENYA
PATHCARE KENYA LIMITED NAIROBI,NAIROBI,KENYA
PATHCARE KENYA LIMITED LABS -MOMBASA,MOMBASA,KENYA
PATHCARE KENYA LIMITED LABS -KISUMU,KISUMU,KENYA
PATHCARE KENYA LIMITED LABS -NAKURU,NAKURU,KENYA
PATHCARE KENYA LIMITED LABS -KERUGOYA,KERUGOYA,KENYA
PATHOLOGISTS LANCET LAB MAIN BRANCH,NAIROBI,KENYA
PATHOLOGISTS LANCET LAB - EASTLEIGH,NAIROBI,KENYA
PATHOLOGISTS LANCET LAB - UPPERHILL,NAIROBI,KENYA
PATHOLOGISTS LANCET LAB - PARKLANDS,NAIROBI,KENYA
PATHOLOGISTS LANCET LAB - THIKA,THIKA,KENYA
PATHOLOGISTS LANCET LAB - NAKURU,NAKURU,KENYA
PATHOLOGISTS LANCET LAB - ELDORET,ELDORET,KENYA
PATHOLOGISTS LANCET LAB - KERICHO,KERICHO,KENYA
PATHOLOGISTS LANCET LAB - BUNGOMA,BUNGOMA,KENYA
PATHOLOGISTS LANCET LAB - KAKAMEGA,KAKAMEGA,KENYA
PATHOLOGISTS LANCET LAB - KISUMU,KISUMU,KENYA
PATHOLOGISTS LANCET LAB - KISII,KISII,KENYA
PATHOLOGISTS LANCET LAB - WAJIR,WAJIR,KENYA
PATHOLOGISTS LANCET LAB - GARISSA,GARISSA,KENYA
PATHOLOGISTS LANCET LAB - MALINDI,MALINDI,KENYA
PATHOLOGISTS LANCET LAB - MERU,MERU,KENYA
PATHOLOGISTS LANCET LAB - MOMBASA,MOMBASA,KENYA
PATHOLOGISTS LANCET LAB - VOI,VOI,KENYA
METROPOLIS PARK MEDICAL CENTRE LAB,NAIROBI,KENYA
METROPOLIS LANDMARK LAB,NAIROBI,KENYA
METROPOLIS EMPRESS SUITES LAB,NAIROBI,KENYA
METROPOLIS EASTLEIGH LAB,NAIROBI,KENYA
METROPOLIS MOMBASA LAB,MOMBASA,KENYA
METROPOLIS THIKA LAB,THIKA,KENYA
METROPOLIS RIDGE COURT COLLECTION LAB,NAIROBI,KENYA
METROPOLIS FORTIS COLLECTION CENTRE LAB,NAIROBI,KENYA
METROPOLIS KMA COLLECTION CENTRE LAB,NAIROBI,KENYA
METROPOLIS 5TH AVENUE COLLECTION CENTRE LAB,NAIROBI,KENYA
METROPOLIS KISUMU COLLECTION CENTRE LAB,KISUMU,KENYA
METROPOLIS NYALI COLLECTION LAB,MOMBASA,KENYA
METROPOLIS ELDORET LAB,ELDORET,KENYA
METROPOLIS SOUTH B CENTRE LAB,NAIROBI,KENYA
METROPOLIS NAKURU LAB,NAKURU,KENYA
JAKARANDA CHEMISTS,NAIROBI,KENYA
INKAMED PHARMACEUTICALS,NAIROBI,KENYA
CORNER PHARMACY LTD.,NAIROBI,KENYA
KRISHNA PHARMACY LTD.,NAIROBI,KENYA
ORION PHARMACY LIMITED,NAIROBI,KENYA
LYNTONS PHARMACY LIMITED,NAIROBI,KENYA
WESTON PHARMACY,NAIROBI,KENYA
WESTON PHARMACY,NAIROBI,KENYA
RIPPLE PHARMACEUTICALS,NAIROBI,KENYA
ELTONS PHARMACY,NAIROBI,KENYA
MALIBU PHARMACY WESTLANDS,NAIROBI,KENYA
MALIBU PHARMACY KISUMU,KISUMU,KENYA
MALIBU PHARMACY MOI AVENUE,NAIROBI,KENYA
MALIBU PHARMACY KAUNDA STREET,NAIROBI,KENYA
MALIBU PHARMACY HURLINGHAM,NAIROBI,KENYA
MALIBU PHARMACY UPPERHILL,NAIROBI,KENYA
MALIBU PHARMACY AGA KHAN WALK CBD,NAIROBI,KENYA
MALIBU PHARMACY MOMBASA,MOMBASA,KENYA
GOODLIFE PHARMACY WESTLANDS SQUARE,NAIROBI,KENYA
GOODLIFE PHARMACY WESTGATE,NAIROBI,KENYA
GOODLIFE PHARMACY KENYATTA AVENUE,NAIROBI,KENYA
"GOODLIFE PHARMACY TOTAL, NGONG ROAD",NAIROBI,KENYA
GOODLIFE PHARMACY VALLEY ARCADE,NAIROBI,KENYA
GOODLIFE PHARMACY JUNCTION MALL,NAIROBI,KENYA
GOODLIFE PHARMACY HURLINGHAM,NAIROBI,KENYA
"GOODLIFE PHARMACY, GARDEN CITY MALL",NAIROBI,KENYA
"GOODLIFEPHARMACY KENOL, LANGATA MALL",NAIROBI,KENYA
"GOODLIFE PHARMACY, GREENSPAN MALL",NAIROBI,KENYA
"GOODLIFE PHARMACY, RIDGEWAYS",NAIROBI,KENYA
"GOODLIFE PHARMACY, SHELL MADARAKA",NAIROBI,KENYA
"GOODLIFE PHARMACY, SHELL KAREN",NAIROBI,KENYA
"GOODLIFE PHARMACY, SARIT CENTRE",NAIROBI,KENYA
"GOODLIFE PHARMACY, SHELL THOME",NAIROBI,KENYA
"GOODLIFE PHARMACY, KAREN CROSSROADS",NAIROBI,KENYA
"GOODLIFE PHARMACY, ANANAS MALL THIKA",THIKA,KENYA
GOODLIFE PHARMACY NYALI KENOL,MOMBASA,KENYA
GOODLIFE PHARMACY NYALI NAIVAS,MOMBASA,KENYA
GOODLIFE PHARMACY MOMBASA AMBALAL,MOMBASA,KENYA
GOODLIFE PHARMACY KILIFI,KILIFI,KENYA
GOODLIFE PHARMACY DIANI,DIANI,KENYA
GOODLIFE PHARMACY MALINDI,MALINDI,KENYA
GOODLIFE PHARMACY BUFFALO,NAIVASHA,KENYA
GOODLIFE PHARMACY TUFF FOAM KISUMU,KISUMU,KENYA
GOODLIFE PHARMACY CEDAR MALL,NANYUKI,KENYA
GOODLIFE PHARMACY WESTLANDS ARCADE,NAIROBI,KENYA
GOODLIFE PHARMACY ROSSLYN RIVIERA,NAIROBI,KENYA
GOODLIFE PHARMACY SHELL TEGEMEO,NAIROBI,KENYA
GOODLIFE PHARMACY VILLAGE MARKET,NAIROBI,KENYA
GOODLIFE PHARMACY SHELL HURLINGHAM,NAIROBI,KENYA
GOODLIFE PHARMACY CITY SQUARE,NAIROBI,KENYA
GOODLIFE PHARMACY RUPA MALL,ELDORET,KENYA
GOODLIFE PHARMACY KISUMU MEGA PLAZA,KISUMU,KENYA
GOODLIFE PHARMACY MUTHAIGA,NAIROBI,KENYA
GOODLIFE PHARMACY ENGEN KAHAWA SUKARI,NAIROBI,KENYA
GOODLIFE PHARMACY MERIDIAN NYERI,NYERI,KENYA
GOODLIFE PHARMACY WESTSIDE MALL NAKURU,NAKURU,KENYA
GOODLIFE PHARMACY SOHAM SYOKIMAU,NAIROBI,KENYA
GOODLIFE PHARMACY KENOL ONGATA RONGAI,NAIROBI,KENYA
GOODLIFE PHARMACY NAIVAS EASTGATE,NAIROBI,KENYA
GOODLIFE PHARMACY KITALE,KITALE,KENYA
GOODLIFE PHARMACY THIKA CHANIA,THIKA,KENYA
GOODLIFE PHARMACY KAKAMEGA,KAKAMEGA,KENYA
GOODLIFE PHARMACY KERICHO,KERICHO,KENYA
GOODLIFE PHARMACY KAREN - WATERFRONT,NAIROBI,KENYA
GOODLIFE PHARMACY KISII,KISII,KENYA
GOODLIFE PHARMACY NEW SARIT,NAIROBI,KENYA
GOODLIFE PHARMACY KAMAKIS,NAIROBI,KENYA
GOODLIFE PHARMACY KILIMANI,NAIROBI,KENYA
GOODLIFE PHARMACY GARDEN ESTATE,NAIROBI,KENYA
GOODLIFE PHARMACY WATAMU,NAIROBI,KENYA
GOODLIFE PHARMACY LAVINGTON GREEN MALL,NAIROBI,KENYA
GOODLIFE PHARMACY GENERAL MATHENGE,NAIROBI,KENYA
GOODLIFE PHARMACY TOTAL LANGATA,NAIROBI,KENYA
GOODLIFE PHARMACY KENOL LORESHO,NAIROBI,KENYA
GOODLIFE PHARMACY TUSKYS EMBAKASI,NAIROBI,KENYA
GOODLIFE PHARMACY NAIROBI MEGA,NAIROBI,KENYA
GOODLIFE PHARMACY SAROVA STANLEY,NAIROBI,KENYA
RAJ PHARMACY,NAIROBI,KENYA
ONE STOP PHARMACY WESTLANDS,NAIROBI,KENYA
HIGHRIDGE PHARMACY,NAIROBI,KENYA
QPHARM PHARMACY GARDEN CITY MALL BRANCH,NAIROBI,KENYA
QPHARM PHARMACY LAVINGTON MALL BRANCH,NAIROBI,KENYA
DOVEY PHARMA KIMATHI,NAIROBI,KENYA
DOVEY PHARMA CITY HALL,NAIROBI,KENYA
DOVEY PHARMA WESTLANDS,NAIROBI,KENYA
DOVEY PHARMA RIVERSIDE,NAIROBI,KENYA
DOVEY PHARMA KILIMANI,NAIROBI,KENYA
DOVEY PHARMA LAVINGTON,NAIROBI,KENYA
DOVEY PHARMA J.F. CENTRE,NAIROBI,KENYA
DOVEY PHARMA J.F. ANNEX,NAIROBI,KENYA
DOVEY PHARMA KAREN,NAIROBI,KENYA
DOVEY PHARMA LANGATA,NAIROBI,KENYA
DOVEY PHARMA NAIROBI WEST,NAIROBI,KENYA
DOVEY PHARMA AGA KHAN,NAIROBI,KENYA
DOVEY PHARMA BURUBURU,NAIROBI,KENYA
DOVEY PHARMA RUAKA,NAIROBI,KENYA
DOVEY PHARMA KIAMBU ROAD,NAIROBI,KENYA
DOVEY PHARMA RONGAI,NAIROBI,KENYA
DOVEY PHARMA MOMBASA,MOMBASA,KENYA
DOVEY PHARMA NAKURU,NAKURU,KENYA
CITY EYE HOSPITAL LTD,NAIROBI,KENYA
EAGLE EYE LASER CENTRE,NAIROBI,KENYA
M&E EYECARE CENTRE,NAIROBI,KENYA
3RD PARK HOSPITAL,NAIROBI,KENYA
PINE HOSPITAL,MALINDI,KENYA
METROCARE HEALTH CLINIC,NAIROBI,KENYA
CYSTAL COTTAGE HOSPITAL,KITALE,KENYA
WESTLANDS LASER EYE,NAIROBI,KENYA
TSAVO COMPREHENSIVE MEDICAL,VOI,KENYA
MEPHI HEALTH SERVCIES,KILIFI,KENYA
ORACLE HOMECARE NURSING,NAIROBI,KENYA
LUTON HOSPITAL,NAIROBI,KENYA
EUMAKE DIAGNOSTIC  LABORATORIES,NAIROBI,KENYA
DR AGARWAL EYE HOSPITAL,NAIROBI,KENYA
MYER KIDNEY & HEALTH SPECIALITIES HOSPITAL,NAIROBI,KENYA
NATURAL AYURVED CARE,NAIROBI,KENYA
THE HUMAN GARAGE GROUP,NAIROBI,KENYA
BOYNE HEALTHCARE,NAIROBI,KENYA
GEORGE NANDI,NAIROBI,KENYA
MIHIR SHAH,NAIROBI,KENYA
PHYSIO4U (PETRINA SPENCER),NAIROBI,KENYA
MOSHON PHYSIOTHERAPY,NAIROBI,KENYA
RAJ SHAH(PHYSIOKINETICS REHAB CENTRE),NAIROBI,KENYA
SPORTS MEDICINE CENTRE,NAIROBI,KENYA
MYDAWA ONLINE PHARMACY,NAIROBI,KENYA
AGA KHAN UNIVERSITY HEALTH CENTRE-METROPLEX SHOPPING MALL,KAMPALA,UGANDA
AGAKHAN UNIVERSTY HEALTH CENTRE- ACACIA AVENUE,KAMPALA,UGANDA
AGA KHAN UNIVERSITY HEALTH CENTRE-DIAMOND TRUST,KAMPALA,UGANDA
AGAKHAN UNIVERSTY HEALTH CENTRE- BUGOLOBI,KAMPALA,UGANDA
AAR NATEETE CLINIC,KAMPALA,UGANDA
AAR ENTEBBE CLINIC,ENTEBBE,UGANDA
AAR BUGANDA ROAD CLINIC,KAMPALA,UGANDA
AAR CITY HEALTH CENTRE,KAMPALA,UGANDA
AAR BUGOLOBI HEALTH CENTRE,KAMPALA,UGANDA
AAR NTINDA HEALTH CENTRE,KAMPALA,UGANDA
AAR KABALAGALA HEALTH CENTRE,KAMPALA,UGANDA
AAR BWEYOGERERE HEALTH CENTRE,BWEYOGERERE,UGANDA
AAR GULU HEALTH CENTRE,GULU,UGANDA
AAR MUKONO HEALTH CENTRE,MUKONO,UGANDA
C-CARE INTERNATIONAL HOSPITAL KAMPALA,KAMPALA,UGANDA
C-CARE INTERNATIONAL MEDICAL CENTRE- IDC,KAMPALA,UGANDA
C-CARE INTERNATIONAL MEDICAL CENTRE-NTINDA,KAMPALA,UGANDA
C-CARE INTERNATIONAL MEDICAL CENTRE- PARK ROYAL BUILDING,KAMPALA,UGANDA
C-CARE INTERNATIONAL MEDICAL CENTRE - KITGUM HOUSE,KAMPALA,UGANDA
C-CARE INTERNATIONAL MEDICAL CENTRE- KOLOLO CLINIC,KAMPALA,UGANDA
C-CARE INTERNATIONAL MEDICAL CENTRE - KOLOLO DENTAL,KAMPALA,UGANDA
C-CARE INTERNATIONAL MEDICAL CENTRE-NAMIREMBE ROAD,KAMPALA,UGANDA
C-CARE INTERNATIONAL MEDICAL CENTRE- WANDEGEYA,KAMPALA,UGANDA
C-CARE INTERNATIONAL MEDICAL CENTRE- LUBOWA,LUBOWA,UGANDA
C-CARE INTERNATIONAL MEDICAL CENTRE - ENTEBBE,ENTEBBE,UGANDA
C-CARE INTERNATIONAL MEDICAL CENTRE- KIREKA,KIREKA,UGANDA
C-CARE INTERNATIONAL MEDICAL CENTRE- MUKONO,MUKONO,UGANDA
C-CARE INTERNATIONAL MEDICAL CENTRE - JINJA,JINJA,UGANDA
C-CAREITERNATIONAL MEDICAL CENTRE -MBALE,MBALE,UGANDA
C-CARE INTERNATIONAL MEDICAL CENTRE - MBARARA,MBARARA,UGANDA
C-CARE INTERNATIONAL MEDICAL CENTRE - GULU,GULU,UGANDA
C-CARE INTERNATIONAL MEDICAL CENTRE- ARUA,ARUA,UGANDA
C-CARE INTERNATIONAL MEDICAL CENTRE - SOROTI,SOROTI,UGANDA
KAMPALA HOSPITAL LTD,KAMPALA,UGANDA
KOLOLO HOSPITAL,KAMPALA,UGANDA
PARAGON HOSPITAL,KAMPALA,UGANDA
NORVIK HOSPITAL KAMPALA,KAMPALA,UGANDA
GULU INDEPENDENT HOSPITAL,GULU,UGANDA
KAMPALA INDEPENDENT HOSPITAL,KAMPALA,UGANDA
EVALINA CHILDREN'S CLINIC,KAMPALA,UGANDA
RUBY HOSPITAL KAMPALA,KAMPALA,UGANDA
UMC VICTORIA HOSPITAL,KAMPALA,UGANDA
NILE INTERNATIONAL HOSPITAL,JINJA,UGANDA
THE MEDICAL CONCIERGE GROUP(ROCKET HEALTH),KAMPALA,UGANDA
MEDIPAL INTERNATIONAL HOSPITAL,KAMPALA,UGANDA
CASE HOSPITAL KAMPALA,KAMPALA,UGANDA
DR.AGARWAL'S EYE HOSPITAL,KAMPALA,UGANDA
MARIE STOPES HOSPITAL & MATERNITY,KAMPALA,UGANDA
MARIE STOPES JINJA,JINJA,UGANDA
MARIE STOPES KAVULE,KAVULE,UGANDA
MARIE STOPES TORORO,TORORO,UGANDA
MARIE STOPES SOROTI,SOROTI,UGANDA
MARIE STOPES BWEYOGERERE,BWEYOGERERE,UGANDA
MARIE STOPES NAMUWONGO,NAMUWONGO,UGANDA
MARIE STOPES KABALE,KABALE,UGANDA
MARIE STOPES MBALE ,MBALE,UGANDA
MARIE STOPES GULU,GULU,UGANDA
MARIE STOPES ARUA,ARUA,UGANDA
MARIE STOPES LIRA,LIRA,UGANDA
MARIE STOPES MBARARA,MBARARA,UGANDA
MARIE STOPES MASAKA,MASAKA,UGANDA
MARIE STOPES FORT PORTAL,FORT PORTAL,UGANDA
MARIE STOPES HOIMA,HOIMA,UGANDA
PIONEER HOSPITAL ARUA,ARUA,UGANDA
ALPHA MEDICAL SPECIALISTS,GULU ,UGANDA
ST. JAMES ORTHOPAEDIC &SURGICAL CENTRE,JINJA,UGANDA
"CITY MEDICALS, KAMPALA",KAMPALA,UGANDA
"CITY MEDICALS, HOIMA",HOIMA,UGANDA
"CITY MEDICALS, BULIISA",BULIISA,UGANDA
"CITY MEDICALS, MASAKA",MASAKA,UGANDA
CITY MEDICALS ENTEBBE LABORATORY,ENTEBBE,UGANDA
PAN DENTAL SURGERY- BUGANDA ROAD,KAMPALA,UGANDA
PAN DENTAL SURGERY -NAGURU,KAMPALA,UGANDA
PAN DENTAL SURGERY-JINJA,KAMPALA,UGANDA
DONAU DENTAL CENTER-NAKASERO,KAMPALA,UGANDA
DONAU DENTAL CLINIC-BWEYOGERERE,KAMPALA,UGANDA
DONAU DENTALCLINIC -NAALYA NAMUGONGO ROAD,KAMPALA,UGANDA
EYE CARE CENTRE-VICTORIA MALL,KAMPALA,UGANDA
EYE CARE CENTRE-JOHNSTONE STREET DOWN TOWN,KAMPALA,UGANDA
EYE CARE CENTRE LUGOGO,KAMPALA,UGANDA
EYE CARE CENTRE-GARDEN CITY,KAMPALA,UGANDA
EYE CARE CENTRE-ACACIA,KAMPALA,UGANDA
ROSEWELL WOMEN AND CHILDREN'S HOSPITAL,KAMPALA,UGANDA
WELLINGTON DIABETES AND HEART CENTRE,KAMPALA,UGANDA
ROSEWELL ENT CLINIC,KAMPALA,UGANDA
UNITY SKIN CLINIC- ACACIA MALL,KAMPALA,UGANDA
HEALINGWAY DIAGNOSTIC AND FERTILITY CENTRE,KAMPALA,UGANDA
PRIMECARE DENTAL CLINIC,KAMPALA,UGANDA
GOODLIFE PHARMACY- ACACIA,KAMPALA,UGANDA
GOODLIFE PHARMACY- VICTORIA MALL,KAMPALA,UGANDA
GOODLIFE PHARMACY- LUGOGO,KAMPALA,UGANDA
GOODLIFE PHARMACY- RUBY HOSPITAL,KAMPALA,UGANDA
GOODLIFE PHARMACY-FOREST MALL,KAMPALA,UGANDA
GOODLIFE PHARMACY-DOWN TOWN,KAMPALA,UGANDA
GOODLIFE PHARMACY-ARENA MALL,KAMPALA,UGANDA
GOODLIFE PHARMACY- ARROW SQUARE,KAMPALA,UGANDA
SAMEDAY MEDICAL CENTRE,KAMPALA,UGANDA
SAMEDAY MEDICAL CENTRE,KAMPALA,UGANDA
SAMEDAY HOSPITAL,KAMPALA,UGANDA
EL-SHADAI HOSPITAL,ENTEBBE,UGANDA
AGA KHAN HEALTH CENTRE,IRINGA,TANZANIA
AGA KHAN HEALTH CENTRE,MBEYA,TANZANIA
AGA KHAN HEALTH CENTRE,MOROGORO,TANZANIA
AGA KHAN HEALTH CENTRE,DODOMA,TANZANIA
AGA KHAN HEALTH CENTRE,DAR  ES SALAAM,TANZANIA
AGA KHAN HOSPITAL,DAR  ES SALAAM,TANZANIA
AGA KHAN MEDICAL CLINIC TOWN,DAR  ES SALAAM,TANZANIA
"AGA KHAN MEDICAL CLINIC, MASAKI",DAR  ES SALAAM,TANZANIA
"AGA KHAN MEDICAL CLINIC, TABATA",DAR  ES SALAAM,TANZANIA
"AGA KHAN MEDICAL CLINIC, KIGAMBONI",DAR  ES SALAAM,TANZANIA
"AGA KHAN MEDICAL CLINIC, KIMARA",DAR  ES SALAAM,TANZANIA
"AGA KHAN MEDICAL CLINIC, GEITA",GEITA,TANZANIA
"AGA KHAN MEDICAL CLINIC, MWANZA",MWANZA,TANZANIA
AL RAHIMA HOSPITAL,ZANZIBAR,TANZANIA
ARUSHA LUTHERAN MEDICAL CENTRE(SELIAN),ARUSHA,TANZANIA
CARDINAL RUGAMBWA HOSPITAL,DAR  ES SALAAM,TANZANIA
CCBRT HOSPITAL,DAR  ES SALAAM,TANZANIA
DR HAMEER HEALTH CENTRE,DAR  ES SALAAM,TANZANIA
DR S. S. FAYA- CLINIC,DAR  ES SALAAM,TANZANIA
ELITE DENTAL CLINIC,DAR  ES SALAAM,TANZANIA
DSM INTERNATIONAL MEDICAL CLINIC TANZANIA,DAR  ES SALAAM,TANZANIA
MADONNA HOSPITAL,DAR  ES SALAAM,TANZANIA
MICO RABININSIA MEMORIAL HOSPITAL,DAR  ES SALAAM,TANZANIA
MIKUMI HOSPITAL,DAR  ES SALAAM,TANZANIA
OKINAWA PHARMACY,DAR  ES SALAAM,TANZANIA
OYSTERBAY HOSPITAL (OYSTERBAY) CR BM,DAR  ES SALAAM,TANZANIA
SANITAS MEDICS & DIAGNOSTIC LTD.,DAR  ES SALAAM,TANZANIA
SINZA FAMILY EYE CARE,DAR  ES SALAAM,TANZANIA
TANZANIA CHARITABLE HOSPITAL TRUST FUND,DAR  ES SALAAM,TANZANIA
TIBA HEALTHCARE LTD,DAR  ES SALAAM,TANZANIA
UPANGA EYE CARE,DAR  ES SALAAM,TANZANIA
PATHOLOGIST LANCET TANZANIA,DAR  ES SALAAM,TANZANIA
LONDON HEALTH CENTRE,DAR  ES SALAAM,TANZANIA
SALI INTERNATIONAL HOSPITAL,DAR  ES SALAAM,TANZANIA
RELIABLE DIAGNOSTIC CENTRE,DAR  ES SALAAM,TANZANIA
HEAMEDA HOSPITAL,DAR  ES SALAAM,TANZANIA
SAIFEE HOSPITAL,DAR  ES SALAAM,TANZANIA
KAIRUKI HOSPITAL,DAR  ES SALAAM,TANZANIA
MWANZA HOSPITAL,MWANZA,TANZANIA
DR CHACHA MEMORIAL HOSPITAL,MWANZA,TANZANIA
AGA KHAN HEALTH CENTRE ARUSHA,ARUSHA,TANZANIA
AGA KHAN POLYCLINIC ZANZIBAR,ZANZIBAR,TANZANIA
AGA KHAN POLYCLINIC MABIBO,MABIBO,TANZANIA
AGA KHAN POLYCLINIC TANDALE,TANDALE,TANZANIA
CRADLE SPECIALITY HEALTH CENTRE,DAR  ES SALAAM,TANZANIA
PLATINUM MEDICAL CARE,MOROGORO,TANZANIA
ASHERI CHARITABLE POLYCLINIC,ARUSHA,TANZANIA
CLINIC BIEN NAITRE,KIGALI CITY,RWANDA
BIO MEDICAL CENTRE (BMC),KIGALI CITY,RWANDA
KABGAYI HOSPITAL,SOUTHERN PROVINCE,RWANDA
PHARMACHOICE PHARMACY,SOUTHERN PROVINCE,RWANDA
LA MEDICALE CLINIQUE HUYE,SOUTHERN PROVINCE,RWANDA
PHARMARCIE LE BON SAMARITAIN,SOUTHERN PROVINCE,RWANDA
POLYCLINIQUE LA MEDICALE DE MUSANZE,NORTHERN PROVINCE,RWANDA
VICTORY PHARMACY,SOUTHERN PROVINCE,RWANDA
POLYCLINIQUE LA MEDICALE KIGALI,KIGALI CITY,RWANDA
CLINIQUE DU MONT NYAMAGUMBA,NORTHERN PROVINCE,RWANDA
POLYCLINIQUE. DU CARREFOUR,KIGALI CITY,RWANDA
VINE PHARMACY,GASABO,RWANDA
CLINIQUE LA FIDELETE,WESTERN PROVINCE,RWANDA
LEGACY CLINICS AND DIAGNOSTICS,KIGALI CITY,RWANDA
DREAM MEDICAL CENTRE HOSPITAL,KIGALI CITY,RWANDA
POLY CLINIQUE DE L'ETOILE,KIGALI CITY,RWANDA
BT DAVID CLINIC,BUGESERA,RWANDA
FRONTIER POLYCLINIC,KIGALI CITY,RWANDA
"TETA PHARMACY, REMERA",KIGALI CITY,RWANDA
"TETA PHARMACY, KIMIRONKO",KIGALI CITY,RWANDA
PHARMACY ROYALE,KIGALI CITY,RWANDA
RITE PHARMACY,KIGALI CITY,RWANDA
ELVINO PHARMACY,WESTERN PROVINCE,RWANDA
KIGALI EYE CENTRE (DR.NZABAMWITA JOSEPH),KIGALI CITY,RWANDA
DEVA MEDICAL CENTER,KIGALI CITY,RWANDA
POLYCLINIQUE FAMILIALE(POLYFAM),KIGALI CITY,RWANDA
NDENGERA POLYCLINIC,WESTERN PROVINCE,RWANDA
CLINIC LA MEDICALE NYAMASHEKE,WESTERN PROVINCE,RWANDA
NU VISION OPTICAL,KIGALI CITY,RWANDA
POLYCLINIQUE MEDICALE LA PROVIDENCE,SOUTHERN PROVINCE,RWANDA
INITIAITIVE PHARMACY,EASTERN PROVINCE,RWANDA
CHARITY MEDICAL CLINIC,WESTERN PROVINCE,RWANDA
PHARMASAVE LTD,KIGALI CITY,RWANDA
SANA PHARMACY,KIGALI CITY,RWANDA
NEW LOOK OPTICAL,KIGALI CITY,RWANDA
LA VANILLE LTD,KIGALI CITY,RWANDA
ST THERESA  POLYCLINIC ,RWAMAGANA,RWANDA
IRAGUHA PHARMACY ,NORTHERN PROVINCE,RWANDA
LA CROIX DU SUD HOSPITAL,KIGALI CITY,RWANDA
SANGWA POLYCLINIC,SOUTHERN PROVINCE,RWANDA
KADISCO GENERAL HOSPITAL PLC,ADDIS ABABA,ETHIOPIA
GIRUM HOSPITAL PLC,ADDIS ABABA,ETHIOPIA
SUISSE CLINIC,ADDIS ABABA,ETHIOPIA
HEMEN MATERNAL AND CHILDREN HOSPITAL,ADDIS ABABA,ETHIOPIA
ADAMA GENERAL HOSPITAL & MEDICAL COLLEGE,ADDIS ABABA,ETHIOPIA
AMERICAN MEDICAL SPECIALTY CLINIC,ADDIS ABABA,ETHIOPIA
YERER HOSPITAL,ADDIS ABABA,ETHIOPIA
KIBRU HOSPITAL,ADDIS ABABA,ETHIOPIA
ALATYOL HOSPITAL,ADDIS ABABA,ETHIOPIA
NORDIC CLINIC,ADDIS ABABA,ETHIOPIA
LIYANA HEALTHCARE PLC,ADDIS ABABA,ETHIOPIA
HALLELUJAH HOSPITAL,ADDIS ABABA,ETHIOPIA
HAYAT HOSPITAL ,ADDIS ABABA,ETHIOPIA
BETHZATHA HEALTH SERVICES,ADDIS ABABA,ETHIOPIA
NISIR SPECIALIZED EYE CLINIC,ADDIS ABABA,ETHIOPIA
WGGA EYE CENTRE,ADDIS ABABA,ETHIOPIA
DALIA EYE CLINIC,ADDIS ABABA,ETHIOPIA
ETHIO ISTANBUL GENERAL HOSPITAL,ADDIS ABABA,ETHIOPIA
PIONEER DIAGNOSTICS CENTRE,ADDIS ABABA,ETHIOPIA
WASHINGTON HEALTHCARE PLC,ADDIS ABABA,ETHIOPIA
CLINIQUE AL AZHAR,ALGIERS,ALGERIA
CLINIQUE CHERRACK EL GHOSLI,ORAN,ALGERIA
CLINIQUE CHIFA HYDRA,ALGIERS,ALGERIA
CLINIQUE DENTAIRE ALGERO - ALLEMANDE,ALGIERS,ALGERIA
